"DisplayName","UserPrincipalName","AccountEnabled","CreatedDateTime"
"David Wilson","david.wilson@CorpLab693.onmicrosoft.com",,
"Emily Davis","emily.davis@CorpLab693.onmicrosoft.com",,
"Help Operator","helpoperator@CorpLab693.onmicrosoft.com",,
"IT Helpdesk","ithelpdesk@CorpLab693.onmicrosoft.com",,
"John Smith","john.smith@CorpLab693.onmicrosoft.com",,
"Mark S","marks@CorpLab693.onmicrosoft.com",,
"Michael Brown","michael.brown@CorpLab693.onmicrosoft.com",,
"Apexvale Technologies","OniPedro@CorpLab693.onmicrosoft.com",,
"package_95d99bc4-bcd2-4283-97f1-19a0e9881a10","package_1c018f72-052c-4842-8ba0-8dcba40a80b7@corplab693.onmicrosoft.com",,
"Sarah Johnson","sarah.johnson@CorpLab693.onmicrosoft.com",,
